ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
225, 124, (15.1;-87.4;-14.7),["None": 1.00],["Lingual_R": 0.51]["Cerebelum_Crus1_R": 0.38],["Right Cerebellum": 0.44]["Right Lingual Gyrus": 0.33],["Right Lingual Gyrus": 0.47]["Right Uvula": 0.24]["Right Declive": 0.21],["Right Occipital Fusiform Gyrus": 0.34]["None": 0.30]["Right Lingual Gyrus": 0.27]
226, 94, (-5.3;32.3;26.9),["None": 0.80]["ACC": 0.20],["Cingulum_Ant_L": 0.81]["Frontal_Sup_Medial_L": 0.18],["Left Anterior Cingulate Cortex": 0.80]["Left Superior Medial Gyrus": 0.20],["Left Anterior Cingulate": 0.54]["Left Medial Frontal Gyrus": 0.29]["Left Cingulate Gyrus": 0.17],["Left Paracingulate Gyrus": 0.54]["Left Cingulate Gyrus; anterior division": 0.28]["Right Paracingulate Gyrus": 0.11]
227, 117, (29.8;-56.2;-27.8),["None": 0.89]["inf cerebellum": 0.11],["Cerebelum_6_R": 0.89],["Right Cerebellum": 0.66]["Right Cerebellum": 0.21]["Right Cerebellum": 0.12],["Right Cerebellar Tonsil": 0.45]["Right Culmen": 0.32],["None": 0.92]
228, 94, (58.3;-7.9;-24.3),["None": 1.00],["Temporal_Mid_R": 0.69]["Temporal_Inf_R": 0.31],["Right Middle Temporal Gyrus": 0.50]["Right Inferior Temporal Gyrus": 0.50],["Right Inferior Temporal Gyrus": 0.54]["Right Fusiform Gyrus": 0.32],["Right Middle Temporal Gyrus; anterior division": 0.51]["Right Middle Temporal Gyrus; posterior division": 0.31]
229, 98, (21.4;-82.7;37.5),["None": 0.94],["Occipital_Sup_R": 0.69]["Cuneus_R": 0.31],["Right Superior Occipital Gyrus": 0.76]["Right Cuneus": 0.24],["Right Cuneus": 0.53]["Right Precuneus": 0.47],["Right Lateral Occipital Cortex; superior division": 0.69]["Right Occipital Pole": 0.16]["Right Cuneal Cortex": 0.14]
230, 28, (-16.9;-41.1;-43.5),["None": 1.00],["Cerebelum_9_L": 0.64]["Cerebelum_10_L": 0.36],["Left Cerebellum": 0.64]["Left Cerebellum": 0.29],["None": 0.50]["Left Cerebellar Tonsil": 0.50],["None": 1.00]
231, 198, (-24.8;-70.7;-11.7),["None": 0.97],["Fusiform_L": 0.42]["Lingual_L": 0.30]["Cerebelum_6_L": 0.21],["Left Fusiform Gyrus": 0.44]["Left Cerebellum": 0.29]["Left Lingual Gyrus": 0.16],["Left Declive": 0.56]["Left Fusiform Gyrus": 0.23],["Left Occipital Fusiform Gyrus": 0.75]["Left Lingual Gyrus": 0.16]
232, 79, (8.2;56.7;-8.7),["None": 1.00],["Frontal_Med_Orb_R": 0.73]["Frontal_Sup_Orb_R": 0.14]["Rectus_R": 0.13],["Right Mid Orbital Gyrus": 0.70]["Right Superior Orbital Gyrus": 0.18]["Right Rectal Gyrus": 0.13],["Right Medial Frontal Gyrus": 0.78]["Right Superior Frontal Gyrus": 0.22],["Right Frontal Pole": 0.84]["Right Frontal Medial Cortex": 0.16]
233, 86, (-12.4;-23.8;12.5),["None": 0.99],["Thalamus_L": 1.00],["Left Thalamus": 0.98],["Left Thalamus": 1.00],["Left Thalamus": 1.00]
234, 161, (-46.3;-70.0;5.9),["None": 0.99],["Temporal_Mid_L": 0.50]["Occipital_Mid_L": 0.49],["Left Middle Temporal Gyrus": 0.47]["Left Middle Occipital Gyrus": 0.42],["Left Middle Occipital Gyrus": 0.40]["Left Middle Temporal Gyrus": 0.34]["Left Inferior Temporal Gyrus": 0.26],["Left Lateral Occipital Cortex; inferior division": 0.96]
235, 85, (-19.5;57.5;22.2),["None": 0.94],["Frontal_Sup_L": 0.98],["Left Superior Frontal Gyrus": 0.96],["Left Superior Frontal Gyrus": 0.91],["Left Frontal Pole": 1.00]
236, 135, (50.3;13.7;-4.3),["None": 1.00],["Temporal_Pole_Sup_R": 0.31]["Insula_R": 0.26]["Frontal_Inf_Orb_R": 0.19],["Right Temporal Pole": 0.44]["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.25]["Right Insula Lobe": 0.17],["Right Superior Temporal Gyrus": 0.52]["Right Inferior Frontal Gyrus": 0.41],["Right Temporal Pole": 0.43]["Right Frontal Operculum Cortex": 0.13]["Right Frontal Orbital Cortex": 0.11]
237, 156, (-47.2;-47.8;48.8),["None": 0.87]["IPL": 0.12],["Parietal_Inf_L": 1.00],["Left Inferior Parietal Lobule ": 0.95],["Left Inferior Parietal Lobule": 0.93],["Left Angular Gyrus": 0.40]["Left Supramarginal Gyrus; posterior division": 0.35]["Left Supramarginal Gyrus; anterior division": 0.15]
238, 115, (-27.1;-5.5;-8.7),["None": 1.00],["Amygdala_L": 0.37]["Putamen_L": 0.32]["Hippocampus_L": 0.16],["Left Amygdala": 0.35]["Left Insula Lobe": 0.23]["Left Putamen": 0.22]["Left Hippocampus": 0.16],["Left Parahippocampal Gyrus": 0.52]["Left Lentiform Nucleus": 0.25]["Left Claustrum": 0.16],["Left Amygdala": 0.47]["Left Putamen": 0.42]
239, 84, (1.9;-11.3;33.4),["None": 1.00],["Cingulum_Mid_R": 0.48]["Cingulum_Mid_L": 0.38]["None": 0.14],["Right Middle Cingulate Cortex": 0.39]["Left Middle Cingulate Cortex": 0.32]["None": 0.29],["Left Cingulate Gyrus": 0.52]["Right Cingulate Gyrus": 0.48],["Right Cingulate Gyrus; anterior division": 0.45]["Right Cingulate Gyrus; posterior division": 0.33]
240, 144, (8.8;-66.5;54.0),["None": 0.99],["Precuneus_R": 0.71]["Parietal_Sup_R": 0.17]["Precuneus_L": 0.13],["Right Precuneus": 0.71]["Right Superior Parietal Lobule ": 0.17]["Left Precuneus": 0.13],["Right Precuneus": 0.61]["None": 0.15]["Right Superior Parietal Lobule": 0.14],["Right Precuneous Cortex": 0.69]["Right Lateral Occipital Cortex; superior division": 0.31]
241, 133, (26.1;9.4;58.0),["None": 1.00],["Frontal_Sup_R": 0.59]["Frontal_Mid_R": 0.38],["Right Middle Frontal Gyrus": 0.57]["Right Superior Frontal Gyrus": 0.43],["Right Middle Frontal Gyrus": 0.56]["Right Superior Frontal Gyrus": 0.38],["Right Superior Frontal Gyrus": 0.67]["Right Middle Frontal Gyrus": 0.33]
242, 104, (9.0;-29.5;-5.9),["None": 0.94],["None": 0.45]["Lingual_R": 0.22]["Thalamus_R": 0.19],["None": 0.38]["Right Lingual Gyrus": 0.28]["Cerebellar Vermis": 0.14],["None": 0.58]["Right Culmen": 0.16]["Right Parahippocampal Gyrus": 0.15]["Right Thalamus": 0.11],["None": 0.58]["Right Thalamus": 0.26]["Right Parahippocampal Gyrus; posterior division": 0.14]
243, 121, (-56.0;-7.5;-11.3),["None": 1.00],["Temporal_Mid_L": 0.70]["Temporal_Sup_L": 0.30],["Left Middle Temporal Gyrus": 0.76]["Left Superior Temporal Gyrus": 0.24],["Left Middle Temporal Gyrus": 0.84],["Left Middle Temporal Gyrus; anterior division": 0.40]["Left Superior Temporal Gyrus; anterior division": 0.33]["Left Superior Temporal Gyrus; posterior division": 0.18]
244, 170, (-0.5;-26.8;57.9),["None": 1.00],["Paracentral_Lobule_L": 0.46]["Supp_Motor_Area_R": 0.17]["Cingulum_Mid_L": 0.12]["Paracentral_Lobule_R": 0.11],["Left Paracentral Lobule": 0.49]["Right Paracentral Lobule": 0.14]["Left Middle Cingulate Cortex": 0.13]["Right SMA": 0.12]["Right Middle Cingulate Cortex": 0.11],["Left Paracentral Lobule": 0.36]["Right Paracentral Lobule": 0.33]["Left Medial Frontal Gyrus": 0.16]["Right Medial Frontal Gyrus": 0.15],["Right Precentral Gyrus": 0.52]["Left Precentral Gyrus": 0.44]
245, 128, (1.6;-3.1;3.2),["None": 1.00],["None": 0.51]["Thalamus_L": 0.22]["Thalamus_R": 0.16],["None": 0.60]["Left Pallidum": 0.13],["None": 0.26]["Right Thalamus": 0.23]["Left Thalamus": 0.15]["Right Caudate": 0.12],["Right Thalamus": 0.46]["Left Thalamus": 0.40]
246, 126, (40.9;-14.9;-0.7),["None": 0.97],["Insula_R": 0.54]["Temporal_Sup_R": 0.21]["Putamen_R": 0.13],["Right Insula Lobe": 0.37]["Right Superior Temporal Gyrus": 0.23]["Right Hippocampus": 0.20]["Right Putamen": 0.13],["Right Insula": 0.59]["Right Claustrum": 0.15],["Right Insular Cortex": 0.46]["Right Planum Polare": 0.32]["Right Heschl's Gyrus (includes H1 and H2)": 0.14]
247, 90, (-2.1;-43.0;-40.7),["None": 1.00],["Cerebelum_9_L": 0.40]["None": 0.31]["Vermis_10": 0.21],["Left Cerebellum": 0.54]["None": 0.26]["Cerebellar Vermis": 0.16],["None": 0.80]["Left Cerebellar Tonsil": 0.20],["None": 1.00]
248, 122, (7.7;-53.0;34.5),["None": 0.84]["precuneus": 0.16],["Precuneus_R": 0.72]["Cingulum_Mid_R": 0.20],["Right Precuneus": 0.77]["Right Posterior Cingulate Cortex": 0.11],["Right Precuneus": 0.65]["Right Cingulate Gyrus": 0.20]["Right Posterior Cingulate": 0.16],["Right Precuneous Cortex": 0.59]["Right Cingulate Gyrus; posterior division": 0.40]
249, 94, (-19.2;48.0;34.9),["None": 0.93],["Frontal_Sup_L": 0.62]["Frontal_Mid_L": 0.38],["Left Superior Frontal Gyrus": 0.68]["Left Middle Frontal Gyrus": 0.32],["Left Superior Frontal Gyrus": 1.00],["Left Frontal Pole": 1.00]
250, 110, (63.8;-16.1;18.2),["None": 0.96],["Postcentral_R": 0.30]["Rolandic_Oper_R": 0.27]["Temporal_Sup_R": 0.26]["SupraMarginal_R": 0.16],["Right Superior Temporal Gyrus": 0.53]["Right Postcentral Gyrus": 0.20]["Right Rolandic Operculum": 0.16]["Right SupraMarginal Gyrus": 0.11],["Right Postcentral Gyrus": 0.61]["Right Transverse Temporal Gyrus": 0.27],["Right Postcentral Gyrus": 0.40]["Right Central Opercular Cortex": 0.31]["Right Planum Temporale": 0.12]
251, 96, (-56.3;-48.5;-10.5),["None": 0.98],["Temporal_Inf_L": 0.58]["Temporal_Mid_L": 0.42],["Left Inferior Temporal Gyrus": 0.68]["Left Middle Temporal Gyrus": 0.32],["Left Inferior Temporal Gyrus": 0.55]["Left Middle Temporal Gyrus": 0.35],["Left Middle Temporal Gyrus; temporooccipital part": 0.42]["Left Inferior Temporal Gyrus; temporooccipital part": 0.41]
252, 109, (50.5;-62.6;33.6),["None": 0.83]["angular gyrus": 0.17],["Angular_R": 0.96],["Right Angular Gyrus": 0.72]["Right Middle Temporal Gyrus": 0.18],["Right Angular Gyrus": 0.49]["Right Middle Temporal Gyrus": 0.24]["Right Superior Temporal Gyrus": 0.13],["Right Lateral Occipital Cortex; superior division": 0.83]["Right Angular Gyrus": 0.17]
253, 171, (-1.2;-67.5;-16.6),["None": 0.81],["Vermis_6": 0.40]["Cerebelum_6_L": 0.37],["Left Cerebellum": 0.35]["Cerebellar Vermis": 0.33]["Cerebellar Vermis": 0.20],["Left Declive": 0.32]["Right Declive": 0.28]["Right Pyramis": 0.12]["Left Pyramis": 0.12],["None": 0.82]["Left Lingual Gyrus": 0.13]
254, 51, (-24.5;58.1;-3.5),["None": 1.00],["Frontal_Sup_L": 0.41]["Frontal_Sup_Orb_L": 0.33]["Frontal_Mid_Orb_L": 0.24],["Left Middle Orbital Gyrus": 0.47]["Left Superior Orbital Gyrus": 0.45],["Left Superior Frontal Gyrus": 0.80]["Left Middle Frontal Gyrus": 0.18],["Left Frontal Pole": 1.00]
255, 128, (10.6;35.1;52.9),["None": 0.99],["Frontal_Sup_Medial_R": 0.66]["Frontal_Sup_R": 0.32],["Right Superior Medial Gyrus": 0.63]["Right Superior Frontal Gyrus": 0.35],["Right Superior Frontal Gyrus": 0.81]["None": 0.16],["Right Superior Frontal Gyrus": 0.77]["Right Frontal Pole": 0.23]
256, 76, (11.5;-27.9;42.9),["None": 1.00],["Cingulum_Mid_R": 0.89],["Right Middle Cingulate Cortex": 0.89]["None": 0.11],["Right Cingulate Gyrus": 0.68]["Right Paracentral Lobule": 0.30],["Right Cingulate Gyrus; posterior division": 0.62]["Right Precentral Gyrus": 0.38]
257, 116, (-26.5;-39.7;64.7),["None": 1.00],["Postcentral_L": 0.79]["Parietal_Sup_L": 0.21],["Left Postcentral Gyrus": 0.79]["Left Superior Parietal Lobule ": 0.21],["Left Postcentral Gyrus": 0.78]["Left Superior Parietal Lobule": 0.13],["Left Postcentral Gyrus": 0.74]["Left Superior Parietal Lobule": 0.26]
258, 114, (18.7;-69.4;-26.7),["None": 0.84]["med cerebellum": 0.13],["Cerebelum_6_R": 0.75]["Cerebelum_Crus1_R": 0.12]["Cerebelum_8_R": 0.11],["Right Cerebellum": 0.44]["Right Cerebellum": 0.27]["Right Cerebellum": 0.25],["Right Uvula": 0.36]["Right Pyramis": 0.25]["Right Inferior Semi-Lunar Lobule": 0.20]["Right Declive": 0.11],["None": 1.00]
259, 141, (49.9;-62.4;-8.3),["None": 0.98],["Temporal_Inf_R": 0.84],["Right Inferior Temporal Gyrus": 0.67]["Right Inferior Occipital Gyrus": 0.21]["Right Fusiform Gyrus": 0.13],["Right Fusiform Gyrus": 0.44]["Right Middle Occipital Gyrus": 0.33],["Right Lateral Occipital Cortex; inferior division": 0.58]["Right Inferior Temporal Gyrus; temporooccipital part": 0.28]
260, 108, (-25.4;16.8;-17.0),["None": 1.00],["Frontal_Inf_Orb_L": 0.63]["Insula_L": 0.18],["Left Inferior Frontal Gyrus (p. Orbitalis)": 0.71]["Left Temporal Pole": 0.13]["Left Insula Lobe": 0.12],["Left Inferior Frontal Gyrus": 0.69]["Left Superior Temporal Gyrus": 0.14],["Left Frontal Orbital Cortex": 0.94]
261, 96, (-57.6;-27.4;31.1),["None": 0.96],["SupraMarginal_L": 0.81]["Postcentral_L": 0.19],["Left SupraMarginal Gyrus": 0.80]["Left Postcentral Gyrus": 0.13],["Left Inferior Parietal Lobule": 0.76]["Left Postcentral Gyrus": 0.24],["Left Supramarginal Gyrus; anterior division": 0.69]["Left Postcentral Gyrus": 0.21]
262, 83, (-19.6;-27.4;-23.9),["None": 1.00],["ParaHippocampal_L": 0.57]["Cerebelum_4_5_L": 0.35],["Left Cerebellum": 0.49]["Left ParaHippocampal Gyrus": 0.36],["Left Culmen": 0.52]["None": 0.31]["Left Parahippocampal Gyrus": 0.17],["Left Parahippocampal Gyrus; posterior division": 0.70]["None": 0.16]["Left Parahippocampal Gyrus; anterior division": 0.12]
263, 118, (-24.6;-71.3;35.2),["None": 0.84],["Occipital_Mid_L": 0.47]["Occipital_Sup_L": 0.39],["Left Middle Occipital Gyrus": 0.63]["Left Superior Occipital Gyrus": 0.36],["Left Precuneus": 0.74]["Left Cuneus": 0.17],["Left Lateral Occipital Cortex; superior division": 0.83]["Left Cuneal Cortex": 0.15]
264, 81, (-4.7;55.0;-9.1),["None": 0.99],["Frontal_Med_Orb_L": 0.83]["Rectus_L": 0.15],["Left Mid Orbital Gyrus": 0.81],["Left Medial Frontal Gyrus": 0.83]["Left Superior Frontal Gyrus": 0.17],["Left Frontal Pole": 0.56]["Left Frontal Medial Cortex": 0.19]["Right Frontal Pole": 0.16]
265, 140, (50.6;25.6;23.6),["None": 0.95],["Frontal_Inf_Tri_R": 0.93],["Right Inferior Frontal Gyrus (p. Triangularis)": 0.91],["Right Middle Frontal Gyrus": 0.68]["Right Inferior Frontal Gyrus": 0.32],["Right Middle Frontal Gyrus": 0.45]["Right Inferior Frontal Gyrus; pars triangularis": 0.31]["Right Inferior Frontal Gyrus; pars opercularis": 0.23]
266, 143, (-29.4;23.5;45.6),["None": 1.00],["Frontal_Mid_L": 1.00],["Left Middle Frontal Gyrus": 0.99],["Left Middle Frontal Gyrus": 0.59]["Left Superior Frontal Gyrus": 0.37],["Left Middle Frontal Gyrus": 0.88]["Left Superior Frontal Gyrus": 0.12]
267, 98, (19.3;-28.2;-23.4),["None": 1.00],["Cerebelum_3_R": 0.53]["Cerebelum_4_5_R": 0.19]["ParaHippocampal_R": 0.13],["Right Cerebellum": 0.54]["Right Cerebellum": 0.24]["None": 0.13],["Right Culmen": 0.59]["None": 0.36],["Right Parahippocampal Gyrus; posterior division": 0.51]["None": 0.35]
268, 110, (-13.8;-34.4;3.9),["None": 0.89],["Thalamus_L": 0.47]["Hippocampus_L": 0.25]["Lingual_L": 0.18],["Left Lingual Gyrus": 0.34]["Left Hippocampus": 0.31]["Left Thalamus": 0.29],["Left Thalamus": 0.52]["Left Parahippocampal Gyrus": 0.46],["Left Thalamus": 0.72]["Left Hippocampus": 0.24]
269, 147, (8.2;-83.0;28.1),["None": 0.96],["Cuneus_R": 0.78]["Cuneus_L": 0.18],["Right Cuneus": 0.60]["Left Cuneus": 0.39],["Right Cuneus": 0.99],["Right Cuneal Cortex": 0.75]["Right Occipital Pole": 0.21]
270, 144, (64.1;-20.1;4.1),["None": 0.94],["Temporal_Sup_R": 1.00],["Right Superior Temporal Gyrus": 0.73]["Right Middle Temporal Gyrus": 0.27],["Right Superior Temporal Gyrus": 0.81]["Right Middle Temporal Gyrus": 0.19],["Right Superior Temporal Gyrus; posterior division": 0.79]["Right Planum Temporale": 0.17]
271, 81, (-53.3;6.3;-12.6),["None": 1.00],["Temporal_Pole_Sup_L": 0.56]["Temporal_Sup_L": 0.30]["Temporal_Mid_L": 0.15],["Left Temporal Pole": 0.67]["Left Superior Temporal Gyrus": 0.12]["Left Medial Temporal Pole": 0.11],["Left Superior Temporal Gyrus": 0.51]["Left Middle Temporal Gyrus": 0.49],["Left Temporal Pole": 0.88]
272, 134, (52.7;-39.7;48.3),["None": 0.94],["Parietal_Inf_R": 0.59]["SupraMarginal_R": 0.41],["Right SupraMarginal Gyrus": 0.51]["Right Inferior Parietal Lobule ": 0.48],["Right Inferior Parietal Lobule": 0.84],["Right Supramarginal Gyrus; posterior division": 0.82]["Right Supramarginal Gyrus; anterior division": 0.13]
273, 90, (48.3;37.0;-8.8),["None": 0.91],["Frontal_Inf_Orb_R": 0.99],["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.99],["Right Inferior Frontal Gyrus": 0.54]["Right Middle Frontal Gyrus": 0.46],["Right Frontal Pole": 0.73]["Right Frontal Orbital Cortex": 0.27]
274, 114, (-41.6;-3.4;8.7),["None": 0.83]["mid insula": 0.16],["Insula_L": 0.54]["Rolandic_Oper_L": 0.44],["Left Insula Lobe": 0.51]["Left Rolandic Operculum": 0.38],["Left Insula": 0.82]["Left Precentral Gyrus": 0.11],["Left Central Opercular Cortex": 0.54]["Left Insular Cortex": 0.43]
275, 119, (6.3;-53.1;50.4),["None": 1.00],["Precuneus_R": 0.86]["Precuneus_L": 0.14],["Right Precuneus": 0.86]["Left Precuneus": 0.14],["Right Precuneus": 0.99],["Right Precuneous Cortex": 1.00]
276, 126, (-15.3;-41.7;-24.8),["None": 0.98],["Cerebelum_4_5_L": 0.66]["Cerebelum_3_L": 0.19]["None": 0.14],["Left Cerebellum": 0.61]["Left Cerebellum": 0.13]["None": 0.12],["Left Culmen": 0.56]["Left Cerebellar Tonsil": 0.36],["None": 0.90]
277, 71, (41.9;-6.0;-33.5),["None": 1.00],["Temporal_Inf_R": 0.65]["Fusiform_R": 0.35],["Right Inferior Temporal Gyrus": 0.77]["Right Fusiform Gyrus": 0.23],["Right Inferior Temporal Gyrus": 0.80]["Right Middle Temporal Gyrus": 0.18],["Right Inferior Temporal Gyrus; anterior division": 0.38]["Right Temporal Fusiform Cortex; anterior division": 0.35]["Right Temporal Fusiform Cortex; posterior division": 0.17]
278, 161, (-39.2;-60.0;-12.4),["None": 0.86]["occipital": 0.11],["Fusiform_L": 0.35]["Temporal_Inf_L": 0.23]["Cerebelum_6_L": 0.19]["Occipital_Inf_L": 0.16],["Left Fusiform Gyrus": 0.29]["Left Inferior Temporal Gyrus": 0.29]["Left Inferior Occipital Gyrus": 0.17]["Left Cerebellum": 0.17],["Left Fusiform Gyrus": 0.35]["Left Declive": 0.21]["Left Middle Occipital Gyrus": 0.13]["Left Culmen": 0.13],["Left Temporal Occipital Fusiform Cortex": 0.42]["Left Inferior Temporal Gyrus; temporooccipital part": 0.30]["Left Lateral Occipital Cortex; inferior division": 0.13]
279, 82, (-42.0;21.5;37.0),["None": 0.88]["dlPFC": 0.12],["Frontal_Mid_L": 0.88],["Left Middle Frontal Gyrus": 0.78]["Left Inferior Frontal Gyrus (p. Triangularis)": 0.13],["Left Middle Frontal Gyrus": 0.71]["Left Precentral Gyrus": 0.29],["Left Middle Frontal Gyrus": 1.00]
280, 92, (-52.1;-25.2;-5.6),["None": 1.00],["Temporal_Mid_L": 0.96],["Left Middle Temporal Gyrus": 1.00],["Left Middle Temporal Gyrus": 0.87]["Left Superior Temporal Gyrus": 0.13],["Left Middle Temporal Gyrus; posterior division": 0.51]["Left Superior Temporal Gyrus; posterior division": 0.47]
281, 106, (38.5;-14.5;61.4),["None": 0.99],["Precentral_R": 0.87]["Frontal_Sup_R": 0.11],["RightPrecentral Gyrus": 0.92],["Right Precentral Gyrus": 0.86],["Right Precentral Gyrus": 0.97]
282, 145, (-23.9;-53.8;-8.4),["None": 0.90],["Fusiform_L": 0.47]["Lingual_L": 0.45],["Left Fusiform Gyrus": 0.57]["Left Lingual Gyrus": 0.26]["Left Cerebellum": 0.11],["Left Declive": 0.38]["Left Culmen": 0.22]["Left Fusiform Gyrus": 0.19]["Left Parahippocampal Gyrus": 0.13],["Left Lingual Gyrus": 0.50]["Left Temporal Occipital Fusiform Cortex": 0.50]
283, 127, (-6.2;44.7;-0.8),["None": 0.89]["vmPFC": 0.11],["Cingulum_Ant_L": 0.68]["Frontal_Med_Orb_L": 0.27],["Left Anterior Cingulate Cortex": 0.54]["Left Mid Orbital Gyrus": 0.41],["Left Anterior Cingulate": 0.54]["Left Medial Frontal Gyrus": 0.46],["Left Paracingulate Gyrus": 0.62]["Left Cingulate Gyrus; anterior division": 0.13]["Left Frontal Medial Cortex": 0.12]
284, 92, (30.0;-31.2;-9.4),["None": 0.90],["Hippocampus_R": 0.58]["ParaHippocampal_R": 0.35],["Right ParaHippocampal Gyrus": 0.50]["Right Fusiform Gyrus": 0.33]["Right Hippocampus": 0.17],["Right Parahippocampal Gyrus": 0.85]["Right Fusiform Gyrus": 0.11],["Right Hippocampus": 0.65]["Right Parahippocampal Gyrus; posterior division": 0.26]
285, 82, (37.6;16.6;52.6),["None": 1.00],["Frontal_Mid_R": 1.00],["Right Middle Frontal Gyrus": 1.00],["Right Superior Frontal Gyrus": 0.51]["Right Middle Frontal Gyrus": 0.43],["Right Middle Frontal Gyrus": 1.00]
286, 142, (0.9;-86.1;-13.0),["None": 0.95],["Calcarine_L": 0.35]["Vermis_6": 0.16],["Left Calcarine Gyrus": 0.27]["Left Cerebellum": 0.18]["None": 0.15]["Left Cerebellum": 0.13]["Cerebellar Vermis": 0.12],["Right Lingual Gyrus": 0.38]["None": 0.15]["Right Declive": 0.13]["Left Lingual Gyrus": 0.12],["Right Lingual Gyrus": 0.49]["Left Lingual Gyrus": 0.23]["None": 0.18]["Right Occipital Pole": 0.11]
287, 143, (28.2;-59.5;57.0),["None": 1.00],["Parietal_Sup_R": 0.75]["Parietal_Inf_R": 0.13],["Right Superior Parietal Lobule ": 0.64]["Right Angular Gyrus": 0.20]["Right Inferior Parietal Lobule ": 0.13],["Right Superior Parietal Lobule": 0.71]["None": 0.16]["Right Precuneus": 0.13],["Right Lateral Occipital Cortex; superior division": 0.62]["Right Superior Parietal Lobule": 0.38]
288, 96, (38.4;8.2;-20.2),["None": 1.00],["Temporal_Pole_Sup_R": 0.72]["Insula_R": 0.15],["Right Temporal Pole": 0.93],["Right Superior Temporal Gyrus": 0.91],["Right Temporal Pole": 0.74]["Right Insular Cortex": 0.14]
289, 102, (9.6;47.0;42.4),["None": 1.00],["Frontal_Sup_Medial_R": 0.82]["Frontal_Sup_R": 0.18],["Right Superior Medial Gyrus": 0.82]["Right Superior Frontal Gyrus": 0.18],["Right Superior Frontal Gyrus": 0.65]["Right Medial Frontal Gyrus": 0.31],["Right Frontal Pole": 0.58]["Right Superior Frontal Gyrus": 0.42]
290, 104, (59.0;-52.8;-6.0),["None": 1.00],["Temporal_Inf_R": 0.62]["Temporal_Mid_R": 0.38],["Right Inferior Temporal Gyrus": 0.82]["Right Middle Temporal Gyrus": 0.18],["Right Inferior Temporal Gyrus": 0.54]["Right Middle Temporal Gyrus": 0.45],["Right Middle Temporal Gyrus; temporooccipital part": 0.54]["Right Inferior Temporal Gyrus; temporooccipital part": 0.45]
291, 113, (-0.1;9.0;54.9),["None": 0.92],["Supp_Motor_Area_L": 0.61]["Supp_Motor_Area_R": 0.39],["Left SMA": 0.61]["Right SMA": 0.39],["Right Superior Frontal Gyrus": 0.46]["Left Superior Frontal Gyrus": 0.39]["Left Medial Frontal Gyrus": 0.11],["Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.27]["Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.22]["Right Paracingulate Gyrus": 0.22]["Left Paracingulate Gyrus": 0.12]
292, 106, (-13.4;1.7;-8.8),["None": 1.00],["Putamen_L": 0.27]["Pallidum_L": 0.22]["None": 0.11],["Left Olfactory cortex": 0.44]["Left Putamen": 0.18]["Left Amygdala": 0.17],["Left Subcallosal Gyrus": 0.37]["Left Lentiform Nucleus": 0.34]["Left Parahippocampal Gyrus": 0.20],["Left Putamen": 0.27]["None": 0.19]["Left Amygdala": 0.19]["Left Accumbens": 0.16]
293, 114, (-53.4;5.6;29.6),["None": 0.88]["vFC": 0.12],["Precentral_L": 0.74]["Frontal_Inf_Oper_L": 0.26],["Left Precentral Gyrus": 0.58]["Left Inferior Frontal Gyrus (p. Opercularis)": 0.37],["Left Inferior Frontal Gyrus": 0.59]["Left Precentral Gyrus": 0.30]["Left Middle Frontal Gyrus": 0.11],["Left Precentral Gyrus": 0.80]["Left Inferior Frontal Gyrus; pars opercularis": 0.14]
294, 131, (43.6;-76.6;17.6),["None": 0.92],["Occipital_Mid_R": 0.68]["Temporal_Mid_R": 0.32],["Right Middle Occipital Gyrus": 0.82]["Right Middle Temporal Gyrus": 0.18],["Right Middle Temporal Gyrus": 0.64]["Right Middle Occipital Gyrus": 0.34],["Right Lateral Occipital Cortex; superior division": 0.72]["Right Lateral Occipital Cortex; inferior division": 0.28]
295, 127, (4.0;-52.9;-9.6),["None": 0.98],["Vermis_4_5": 0.54]["Cerebelum_4_5_R": 0.26]["Cerebelum_4_5_L": 0.14],["Cerebellar Vermis": 0.71]["Left Cerebellum": 0.14],["Right Culmen": 0.62]["Right Declive": 0.14],["None": 0.84]["Right Lingual Gyrus": 0.16]
296, 116, (-40.4;-45.8;-18.7),["None": 0.99],["Fusiform_L": 0.53]["Temporal_Inf_L": 0.39],["Left Inferior Temporal Gyrus": 0.59]["Left Fusiform Gyrus": 0.28]["Left Cerebellum": 0.12],["Left Culmen": 0.59]["Left Fusiform Gyrus": 0.34],["Left Temporal Fusiform Cortex; posterior division": 0.42]["Left Temporal Occipital Fusiform Cortex": 0.34]["Left Inferior Temporal Gyrus; temporooccipital part": 0.17]
297, 112, (-5.7;57.9;23.0),["None": 0.99],["Frontal_Sup_Medial_L": 0.89]["Frontal_Sup_L": 0.11],["Left Superior Medial Gyrus": 0.88]["Left Superior Frontal Gyrus": 0.13],["Left Superior Frontal Gyrus": 0.66]["Left Medial Frontal Gyrus": 0.34],["Left Frontal Pole": 0.57]["Left Superior Frontal Gyrus": 0.21]["Right Frontal Pole": 0.13]
